car_id,aspiration,boreratio,carbody,carheight,carlength,carname,carwidth,citympg,compressionratio,curbweight,cylindernumber,doornumber,drivewheel,enginelocation,enginesize,enginetype,fuelsystem,fueltype,highwaympg,horsepower,peakrpm,price,stroke,symboling,wheelbase
1,std,3.4700000286102295,convertible,48.79999923706055,168.8000030517578,alfa-romero giulia,64.0999984741211,21.0,9.0,2548.0,four,two,rwd,front,130.0,dohc,mpfi,gas,27.0,111.0,5000,13495.0,2.680000066757202,3,88.5999984741211
2,std,3.4700000286102295,convertible,48.79999923706055,168.8000030517578,alfa-romero stelvio,64.0999984741211,21.0,9.0,2548.0,four,two,rwd,front,130.0,dohc,mpfi,gas,27.0,111.0,5000,16500.0,2.680000066757202,3,88.5999984741211
3,std,2.680000066757202,hatchback,52.400001525878906,171.1999969482422,alfa-romero Quadrifoglio,65.5,19.0,9.0,2823.0,six,two,rwd,front,152.0,ohcv,mpfi,gas,26.0,154.0,5000,16500.0,3.4700000286102295,1,94.5
4,std,3.190000057220459,sedan,54.29999923706055,176.60000610351562,audi 100 ls,66.19999694824219,24.0,10.0,2337.0,four,four,fwd,front,109.0,ohc,mpfi,gas,30.0,102.0,5500,13950.0,3.4000000953674316,2,99.80000305175781
5,std,3.190000057220459,sedan,54.29999923706055,176.60000610351562,audi 100ls,66.4000015258789,18.0,8.0,2824.0,five,four,4wd,front,136.0,ohc,mpfi,gas,22.0,115.0,5500,17450.0,3.4000000953674316,2,99.4000015258789
6,std,3.190000057220459,sedan,53.099998474121094,177.3000030517578,audi fox,66.30000305175781,19.0,8.5,2507.0,five,two,fwd,front,136.0,ohc,mpfi,gas,25.0,110.0,5500,15250.0,3.4000000953674316,2,99.80000305175781
7,std,3.190000057220459,sedan,55.70000076293945,192.6999969482422,audi 100ls,71.4000015258789,19.0,8.5,2844.0,five,four,fwd,front,136.0,ohc,mpfi,gas,25.0,110.0,5500,17710.0,3.4000000953674316,1,105.80000305175781
8,std,3.190000057220459,wagon,55.70000076293945,192.6999969482422,audi 5000,71.4000015258789,19.0,8.5,2954.0,five,four,fwd,front,136.0,ohc,mpfi,gas,25.0,110.0,5500,18920.0,3.4000000953674316,1,105.80000305175781
9,turbo,3.130000114440918,sedan,55.900001525878906,192.6999969482422,audi 4000,71.4000015258789,17.0,8.300000190734863,3086.0,five,four,fwd,front,131.0,ohc,mpfi,gas,20.0,140.0,5500,23875.0,3.4000000953674316,1,105.80000305175781
10,turbo,3.130000114440918,hatchback,52.0,178.1999969482422,audi 5000s (diesel),67.9000015258789,16.0,7.0,3053.0,five,two,4wd,front,131.0,ohc,mpfi,gas,22.0,160.0,5500,17859.16796875,3.4000000953674316,0,99.5
